topo,V,D,EPR,traffic,ave_phi,std_phi,ave_time[s],std_time[s],ave_PeakRAM[B],std_PeakRAM[B]
RRG,32,6,3,shift-1,10.0,0.0,0.40204858779907227,0.00247748722147714,3470596.8,10.73312629199899
RRG,32,6,3,router-cluster,9.999999999999998,0.0,0.5600567817687988,0.04243013509087355,3452992,16066.582461743381
RRG,32,6,3,random-permute,10.0,0.0,0.3942565441131592,0.0028670263653985686,3470596.8,10.73312629199899
RRG,36,5,3,uniform,6.948051948051945,0.0,0.631369161605835,0.003110146990315752,1911304,8807.384174657082
RRG,36,5,3,shift-half,5.103926096997691,0.0,0.23711647987365722,0.032798704465045736,1908129.6,8813.428663125378
RRG,36,5,3,nearst-neighbour,9.907407407407405,0.0,0.2184192180633545,0.03332121462108825,1908107.2,8793.58056766412
RRG,36,5,3,shift-1,10.0,0.0,0.21899971961975098,0.029229072134573052,1904892.8,7175.18523802696
RRG,36,5,3,router-cluster,6.842105263157894,0.0,0.28106164932250977,0.028407197255731088,1908107.2,8782.667658519249
RRG,36,5,3,random-permute,10.0,0.0,0.19972305297851561,0.007051086237702861,1911326.4,8827.925509427456
RRG,50,7,4,uniform,8.228969754253308,0.0,7.238138961791992,0.10423792773728316,10773145.6,42.48293775152561
RRG,50,7,4,shift-half,5.6824729200276565,0.0,1.3967016220092774,0.09391934327324153,10773163.2,43.30357952871795
RRG,50,7,4,nearst-neighbour,9.95,0.0,1.3411069869995118,0.1266150587521978,10773145.6,42.48293775152561
RRG,50,7,4,shift-1,10.0,0.0,1.356834840774536,0.07745479722875735,10773163.2,43.30357952871795
RRG,50,7,4,router-cluster,8.374827384508446,0.0,2.95771803855896,0.12041904214724744,10773145.6,42.48293775152561
RRG,50,7,4,random-permute,10.0,0.0,1.373201847076416,0.04773116972335145,10773225.6,98.0448876790626
RRG,57,8,4,uniform,9.511173184357535,0.0,17.76980996131897,0.04840530881886548,21572467.2,43.30357952871795
RRG,57,8,4,shift-half,7.34567252372634,0.0,2.9083541870117187,0.19422492505836014,21572467.2,43.30357952871795
RRG,57,8,4,nearst-neighbour,9.956140350877194,0.0,2.729024648666382,0.05694750253795564,21572484.8,10.73312629199899
RRG,57,8,4,shift-1,10.000000000000002,0.0,2.6269694328308106,0.12009072841135233,21572484.8,10.73312629199899
RRG,57,8,4,router-cluster,9.612019055997742,0.0,4.765111684799194,0.18180209112038154,21572467.2,43.30357952871795
RRG,57,8,4,random-permute,10.0,0.0,2.7105380058288575,0.15296551057387356,21572675.2,436.48046920795895
