V,D,M_name,M_weight,ave_time_MP_APST4,std_time_MP_APST4,ave_peakRAM_MP_APST4,std_peakRAM_MP_APST4,ave_time_IT,std_time_IT,ave_peakRAM_IT, std_peakRAM_IT,ave_time_MD_MP_APST4,std_time_MD_MP_APST4,ave_peakRAM_MD_MP_APST4,std_peakRAM_MD_MP_APST4,ave_time_MD_IT,std_time_MD_IT,ave_peakRAM_MD_IT,std_peakRAM_MD_IT
36,5,shift_73,0.009345794392523364,0.39304537773132325,0.0036530895037076225,1752456,8807.384174657082,0.025741434097290038,0.00012134599277094851,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_74,0.009345794392523364,0.3932331085205078,0.002640387210341466,1752456,8807.384174657082,0.021869564056396486,4.933150617297804e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_75,0.009345794392523364,0.4299569606781006,0.051966343099362655,1746062.4,7178.807477568959,0.020369577407836913,0.00014777340477315862,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_76,0.009345794392523364,0.3933903694152832,0.003365221833017403,1749264,8829.381858318282,0.03872103691101074,0.000148915870426623,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_77,0.009345794392523364,0.39170022010803224,0.00200815360538236,1749241.6,8798.620619165256,0.02984027862548828,0.0001134628732544319,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_78,0.009345794392523364,0.38886423110961915,0.0017292945638583115,1749241.6,8798.620619165256,0.023298025131225586,6.672568939839924e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_79,0.009345794392523364,0.4036255836486816,0.03304432209825175,1746044.8,7175.18523802696,0.02929263114929199,4.25232753248795e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_80,0.009345794392523364,0.4515983581542969,0.05529384699265733,1742865.6,53.48644688142969,0.026728105545043946,6.88917074932727e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_81,0.009345794392523364,0.4118806838989258,0.04690599568361409,1749281.6,8813.428663125378,0.02089581489562988,0.00010115476852487967,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_82,0.009345794392523364,0.3892331600189209,0.0016723156835310132,1752456,8807.384174657082,0.03053574562072754,8.785528920968531e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_83,0.009345794392523364,0.38985567092895507,0.0028301733710225023,1752456,8807.384174657082,0.03791351318359375,0.00021561691037395592,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_84,0.009345794392523364,0.4211540222167969,0.048097589175491826,1746062.4,7178.807477568959,0.028929805755615233,0.0001097197793754859,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_85,0.009345794392523364,0.4120306968688965,0.05013635279971385,1746067.2,7225.272534652239,0.020070648193359374,0.00026442687424200356,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_86,0.009345794392523364,0.3911181926727295,0.0025065008641161567,1749241.6,8798.620619165256,0.02536463737487793,7.75456199455374e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_87,0.009345794392523364,0.3898446083068848,0.0024942807390077545,1749241.6,8798.620619165256,0.020379400253295897,8.144020607602081e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_88,0.009345794392523364,0.39034180641174315,0.003929514981895359,1749241.6,8798.620619165256,0.029477310180664063,0.0001113528862524804,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_89,0.009345794392523364,0.44552459716796877,0.05139837368482899,1742865.6,53.48644688142969,0.03309221267700195,0.00015093302774180079,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_90,0.009345794392523364,0.41460728645324707,0.04709382854542141,1749281.6,8813.428663125378,0.03274102210998535,0.00037714749939578665,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_91,0.009345794392523364,0.3926328182220459,0.0030186230796750914,1752456,8807.384174657082,0.03642153739929199,0.00015218997644801522,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_92,0.009345794392523364,0.39504780769348147,0.0026922038174692904,1752456,8807.384174657082,0.030510520935058592,5.231443679805911e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_93,0.009345794392523364,0.43196725845336914,0.05314107432172867,1746062.4,7178.807477568959,0.02318544387817383,6.34655748082515e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_94,0.009345794392523364,0.4159764289855957,0.04966935546341261,1746067.2,7225.272534652239,0.023893070220947266,4.381826045445797e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_95,0.009345794392523364,0.3896030902862549,0.0011729793619282352,1749241.6,8798.620619165256,0.03166275024414063,3.405315129975867e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_96,0.009345794392523364,0.38667750358581543,0.001129263565816899,1749241.6,8798.620619165256,0.018649911880493163,7.882837198124637e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_97,0.009345794392523364,0.38953337669372556,0.002939801911475707,1749241.6,8798.620619165256,0.0221498966217041,8.28669380699366e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_98,0.009345794392523364,0.4418966770172119,0.04819543872820054,1742865.6,53.48644688142969,0.032376670837402345,9.483435775871136e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_99,0.009345794392523364,0.415858793258667,0.041657319739467034,1749281.6,8813.428663125378,0.03546948432922363,6.345796126272206e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_100,0.009345794392523364,0.3946225643157959,0.0028130416237887087,1752456,8807.384174657082,0.018547821044921874,6.682919979439076e-05,193,0.0,0,0,0,0,0,0,0,0
